settlement,teaor,bin,count,generated_count,diff
Adács,56,1-4,8,10,2
Adács,66,1-4,6,8,2
Adács,81,1-4,7,9,2
Adács,96,1-4,11,14,3
Adásztevel,1,1-4,6,8,2
Adásztevel,43,1-4,14,17,3
Adásztevel,47,1-4,7,9,2
Aggtelek,1,1-4,8,10,2
Aggtelek,47,1-4,5,6,1
Aggtelek,55,1-4,5,6,1
Ajak,1,1-4,80,99,19
Ajak,25,1-4,10,12,2
Ajak,31,1-4,10,12,2
Ajak,33,1-4,6,8,2
Ajak,43,1-4,33,41,8
Ajak,45,1-4,6,8,2
Ajak,47,1-4,29,36,7
Ajak,56,1-4,6,8,2
Ajak,66,1-4,7,9,2
Ajak,74,1-4,7,9,2
Ajak,81,1-4,8,10,2
Ajak,85,1-4,10,12,2
Ajak,86,1-4,7,9,2
Ajak,90,1-4,7,9,2
Ajak,96,1-4,17,21,4
Ajka,1,1-4,36,45,9
Ajka,10,1-4,5,6,1
Ajka,14,1-4,5,6,1
Ajka,16,1-4,6,8,2
Ajka,2,1-4,11,14,3
Ajka,23,50-249,6,8,2
Ajka,25,50-249,41,51,10
Ajka,28,50-249,11,14,3
Ajka,31,50-249,20,25,5
Ajka,32,50-249,14,17,3
Ajka,33,50-249,23,29,6
Ajka,41,1-4,38,47,9
Ajka,42,1-4,6,8,2
Ajka,43,1-4,272,338,66
Ajka,43,5-9,8,10,2
Ajka,45,1-4,80,99,19
Ajka,46,1-4,30,37,7
Ajka,46,10-19,5,6,1
Ajka,47,1-4,145,180,35
Ajka,47,10-19,8,10,2
Ajka,47,5-9,19,24,5
Ajka,49,1-4,38,47,9
Ajka,49,20-49,6,8,2
Ajka,49,5-9,7,9,2
Ajka,53,1-4,12,15,3
Ajka,55,1-4,8,10,2
Ajka,56,1-4,53,66,13
Ajka,56,10-19,6,8,2
Ajka,56,5-9,6,8,2
Ajka,59,1-4,9,11,2
Ajka,62,1-4,35,44,9
Ajka,66,1-4,84,104,20
Ajka,68,1-4,37,46,9
Ajka,68,5-9,5,6,1
Ajka,69,1-4,83,103,20
Ajka,69,5-9,5,6,1
Ajka,70,1-4,27,34,7
Ajka,73,1-4,20,25,5
Ajka,74,1-4,80,99,19
Ajka,75,1-4,5,6,1
Ajka,77,1-4,13,16,3
Ajka,80,1-4,35,44,9
Ajka,81,1-4,39,49,10
Ajka,82,1-4,22,27,5
Ajka,85,1-4,77,96,19
Ajka,86,1-4,78,97,19
Ajka,86,5-9,5,6,1
Ajka,90,1-4,27,34,7
Ajka,93,1-4,32,40,8
Ajka,93,5-9,5,6,1
Ajka,94,1-4,8,10,2
Ajka,95,1-4,19,24,5
Ajka,96,1-4,242,301,59
Aka,1,1-4,5,6,1
Akasztó,1,1-4,84,104,20
Akasztó,11,1-4,8,10,2
Akasztó,43,1-4,49,61,12
Akasztó,45,1-4,7,9,2
Akasztó,46,1-4,7,9,2
Akasztó,47,1-4,25,31,6
Akasztó,49,1-4,7,9,2
Akasztó,56,1-4,7,9,2
Akasztó,66,1-4,5,6,1
Akasztó,69,1-4,5,6,1
Akasztó,82,1-4,5,6,1
Akasztó,86,1-4,7,9,2
Akasztó,96,1-4,17,21,4
Alacska,1,1-4,5,6,1
Alacska,25,1-4,9,11,2
Alacska,43,1-4,7,9,2
Alap,1,1-4,41,51,10
Alap,25,1-4,5,6,1
Alap,25,10-19,5,6,1
Alap,43,1-4,13,16,3
Alap,47,1-4,9,11,2
Alap,49,1-4,5,6,1
Alap,85,1-4,8,10,2
Alap,96,1-4,7,9,2
Alattyán,1,1-4,10,12,2
Alattyán,25,1-4,5,6,1
Alattyán,43,1-4,16,20,4
Alattyán,47,1-4,17,21,4
Alattyán,56,1-4,5,6,1
Alattyán,82,1-4,5,6,1
Alattyán,96,1-4,5,6,1
Albertirsa,1,1-4,77,96,19
Albertirsa,10,1-4,6,8,2
Albertirsa,16,1-4,6,8,2
Albertirsa,31,1-4,7,9,2
Albertirsa,32,1-4,10,12,2
Albertirsa,33,1-4,12,15,3
Albertirsa,41,1-4,41,51,10
Albertirsa,41,5-9,7,9,2
Albertirsa,42,1-4,10,12,2
Albertirsa,43,1-4,201,250,49
Albertirsa,43,5-9,6,8,2
Albertirsa,45,1-4,28,35,7
Albertirsa,46,1-4,26,32,6
Albertirsa,47,1-4,106,132,26
Albertirsa,47,5-9,16,20,4
Albertirsa,49,1-4,34,42,8
Albertirsa,53,1-4,19,24,5
Albertirsa,56,1-4,30,37,7
Albertirsa,56,10-19,5,6,1
Albertirsa,59,1-4,6,8,2
Albertirsa,62,1-4,24,30,6
Albertirsa,63,1-4,7,9,2
Albertirsa,66,1-4,25,31,6
Albertirsa,68,1-4,33,41,8
Albertirsa,69,1-4,32,40,8
Albertirsa,70,1-4,26,32,6
Albertirsa,73,1-4,5,6,1
Albertirsa,74,1-4,24,30,6
Albertirsa,77,1-4,9,11,2
Albertirsa,81,1-4,16,20,4
Albertirsa,82,1-4,23,29,6
Albertirsa,85,1-4,37,46,9
Albertirsa,86,1-4,36,45,9
